time_stamp,time,cpu_freq,cpu,cpu_user_time,cpu_system_time,cpu_idle_time,memory,net_sent,net_recv,net_upload_rate,net_download_rate,temp,wifi_freq,bit_rate,link_quality,link_quality_max,signal_level,gpu,gpu_mem,state,net
27-3-2022 18:33:1,1648420381.44925,1500.0,30.5,6922.56,2220.32,713586.39,31.0,22034256,260957247,1.954428555760039e-06,1.7286101234482963e-06,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:6,1648420386.4532878,1500.0,30.2,6927.76,2221.28,713600.18,30.7,22034298,260957866,8.39322187396729e-08,1.237001033329941e-06,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:11,1648420391.457321,1500.0,30.7,6933.07,2222.15,713613.99,30.7,22034298,260958446,0.0,1.1590650775503233e-06,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:16,1648420396.4613612,1500.0,30.7,6938.36,2223.02,713627.8,30.7,22034386,260959228,1.7585789833330364e-07,1.5627372329164027e-06,70.601,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:21,1648420401.4653928,1500.0,30.8,6943.6,2223.97,713641.58,30.7,22034496,260959443,2.1982274996271754e-07,4.2965355674531156e-07,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:26,1648420406.4694622,1500.0,30.6,6948.91,2224.84,713655.38,31.4,22034538,260960473,8.393169087887188e-08,2.0583248001247155e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:31,1648420411.4729447,1500.0,31.2,6954.15,2225.78,713669.16,30.8,22034538,260960903,0.0,8.594014131335429e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:36,1648420416.4770024,1500.0,30.3,6959.19,2226.7,713683.17,32.9,22034580,260961178,8.393188682642465e-08,5.495540208873042e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:41,1648420421.4809754,1500.0,30.7,6964.48,2227.58,713696.92,32.8,22034580,260961608,0.0,8.593171853267534e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:46,1648420426.4849863,1500.0,31.0,6969.77,2228.53,713710.65,32.3,22034622,260961883,8.393267062578499e-08,5.495591529069255e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:51,1648420431.4890056,1500.0,30.8,6975.06,2229.41,713724.45,32.3,22034622,260962313,0.0,8.593092424769556e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:33:56,1648420436.4930267,1500.0,30.9,6980.42,2230.26,713738.2,31.9,22034904,260963527,5.635467767745457e-07,2.4260488900861647e-06,71.088,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:1,1648420441.4970152,1500.0,31.0,6985.68,2231.22,713751.94,31.5,22034946,260963802,8.39330465347538e-08,5.495616142156499e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:6,1648420446.5010307,1500.0,31.0,6991.0,2232.14,713765.69,31.0,22034988,260964636,8.393259464459399e-08,1.6666615222283665e-06,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:11,1648420451.505047,1500.0,30.8,6996.31,2233.04,713779.44,30.8,22034988,260965066,0.0,8.59309733782992e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:16,1648420456.509106,1500.0,30.8,7001.61,2233.96,713793.19,30.8,22035030,260965513,8.393186683173449e-08,8.932748684234599e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:21,1648420461.5131323,1500.0,30.8,7006.98,2234.79,713806.95,32.3,22035030,260965943,0.0,8.593080142143224e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:26,1648420466.517167,1500.0,31.0,7012.36,2235.64,713820.71,30.8,22035072,260966973,8.393227072632305e-08,2.0583390201931607e-06,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:31,1648420471.5212314,1500.0,30.8,7017.63,2236.59,713834.46,30.8,22035072,260967188,0.0,4.296507522404936e-07,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:36,1648420476.525037,1500.0,30.7,7022.88,2237.54,713848.21,30.8,22035114,260967678,8.393611391781063e-08,9.792546623744573e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:41,1648420481.528954,1500.0,29.6,7028.1,2238.48,713862.02,30.8,22035114,260967893,0.0,4.296634035083657e-07,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:46,1648420486.5329244,1500.0,31.1,7033.36,2239.35,713875.84,30.7,22035156,260968383,8.393335046361586e-08,9.792224220755184e-07,73.523,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:51,1648420491.541364,1500.0,31.2,7038.58,2240.2,713889.73,32.9,22035156,260968813,0.0,8.585508450121051e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:34:56,1648420496.5454051,1500.0,30.9,7043.92,2241.07,713903.51,33.4,22035438,260969812,5.635445213491026e-07,1.9963864426516083e-06,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:1,1648420501.5494077,1500.0,30.5,7049.21,2242.0,713917.26,32.5,22035480,260970302,8.393281059149694e-08,9.792161235674642e-07,71.575,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:6,1648420506.5534344,1500.0,30.4,7054.46,2242.93,713931.03,32.1,22035522,260971136,8.393240669171256e-08,1.6666577900211492e-06,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:11,1648420511.5574515,1500.0,30.6,7059.8,2243.78,713944.79,31.7,22035522,260971351,0.0,4.296548054782151e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:16,1648420516.5609791,1500.0,30.3,7065.07,2244.64,713958.6,32.3,22035564,260972223,8.394077740943194e-08,1.7427704262148725e-06,73.523,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:21,1648420521.564982,1500.0,30.4,7070.32,2245.5,713972.41,31.3,22035564,260972438,0.0,4.2965603374716846e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:26,1648420526.5691051,1500.0,30.3,7075.5,2246.48,713986.22,31.0,22035716,260973468,3.037495153370743e-07,2.0583026368235956e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:31,1648420531.5731516,1500.0,30.5,7080.74,2247.35,714000.03,30.8,22035716,260973898,0.0,8.593045750976297e-07,72.062,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:36,1648420536.5771816,1500.0,30.7,7085.92,2248.3,714013.86,30.8,22035758,260974173,8.393235070591059e-08,5.495570581934622e-07,73.036,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:41,1648420541.58122,1500.0,30.9,7091.16,2249.24,714027.63,30.7,22035758,260974603,0.0,8.593059671177369e-07,72.549,0,0,0,0,0,0,0,augmented_reality,
27-3-2022 18:35:46,1648420546.585435,1500.0,30.7,7096.44,2250.09,714041.46,32.3,22035800,260975200,8.392924760968725e-08,1.192994305309126e-06,72.549,0,0,0,0,0,0,0,augmented_reality,
