,cpu_user_time_diff_observations,cpu_user_time_diff_predicted_observations,cpu_user_time_diff_mae,cpu_user_time_diff_rmse,cpu_system_time_diff_observations,cpu_system_time_diff_predicted_observations,cpu_system_time_diff_mae,cpu_system_time_diff_rmse,cpu_idle_time_diff_observations,cpu_idle_time_diff_predicted_observations,cpu_idle_time_diff_mae,cpu_idle_time_diff_rmse,memory_observations,memory_predicted_observations,memory_mae,memory_rmse
27,[18.719999313354492],[17.28795051574707],1.4320487976074219,1.4320487976074219,[0.07000000029802322],[0.33392253518104553],0.2639225348830223,0.2639225348830223,[1.0199999809265137],[1.7060524225234985],0.6860524415969849,0.6860524415969849,[13.699999809265137],[14.573954582214355],0.8739547729492188,0.8739547729492188
28,[17.940000534057617],[17.46794319152832],0.4720573425292969,0.4720573425292969,[0.07000000029802322],[0.3805736303329468],0.31057363003492355,0.31057363003492355,[1.7300001382827759],[1.8217604160308838],0.09176027774810791,0.09176027774810791,[13.699999809265137],[13.730949401855469],0.03094959259033203,0.03094959259033203
29,[17.770000457763672],[17.292373657226562],0.4776268005371094,0.4776268005371094,[0.10000000149011612],[0.3348275125026703],0.23482751101255417,0.23482751101255417,[1.9199999570846558],[1.6943918466567993],0.22560811042785645,0.22560811042785645,[13.699999809265137],[14.570969581604004],0.8709697723388672,0.8709697723388672
30,[18.3799991607666],[16.785551071166992],1.5944480895996094,1.5944480895996094,[0.059999994933605194],[0.34787288308143616],0.28787288814783096,0.28787288814783096,[1.2999999523162842],[2.2017149925231934],0.9017150402069092,0.9017150402069092,[13.699999809265137],[14.637129783630371],0.9371299743652344,0.9371299743652344
31,[17.670000076293945],[17.3157901763916],0.35420989990234375,0.35420989990234375,[0.07999999821186066],[0.380622923374176],0.30062292516231537,0.30062292516231537,[1.9700000286102295],[1.9734764099121094],0.003476381301879883,0.003476381301879883,[13.699999809265137],[13.719351768493652],0.019351959228515625,0.019351959228515625
32,[18.270000457763672],[17.124448776245117],1.1455516815185547,1.1455516815185547,[0.059999994933605194],[0.3401813507080078],0.2801813557744026,0.2801813557744026,[1.4500000476837158],[1.855892300605774],0.4058922529220581,0.4058922529220581,[13.699999809265137],[14.594768524169922],0.8947687149047852,0.8947687149047852
33,[18.459999084472656],[17.134859085083008],1.3251399993896484,1.3251399993896484,[0.09000000357627869],[0.33751413226127625],0.24751412868499756,0.24751412868499756,[1.2899999618530273],[1.891823410987854],0.6018234491348267,0.6018234491348267,[13.699999809265137],[14.471327781677246],0.7713279724121094,0.7713279724121094
34,[18.530000686645508],[17.15582847595215],1.3741722106933594,1.3741722106933594,[0.07000000029802322],[0.34946221113204956],0.27946221083402634,0.27946221083402634,[1.1799999475479126],[1.9045101404190063],0.7245101928710938,0.7245101928710938,[13.699999809265137],[14.454026222229004],0.7540264129638672,0.7540264129638672
35,[17.610000610351562],[17.50041389465332],0.10958671569824219,0.10958671569824219,[0.07000000029802322],[0.3411567807197571],0.27115678042173386,0.27115678042173386,[2.0999999046325684],[1.5598431825637817],0.5401567220687866,0.5401567220687866,[13.699999809265137],[14.413901329040527],0.7139015197753906,0.7139015197753906
36,[17.969999313354492],[16.65823745727539],1.3117618560791016,1.3117618560791016,[0.059999994933605194],[0.3459511399269104],0.2859511449933052,0.2859511449933052,[1.7200000286102295],[2.3483211994171143],0.6283211708068848,0.6283211708068848,[13.699999809265137],[14.474674224853516],0.7746744155883789,0.7746744155883789
37,[18.709999084472656],[17.088157653808594],1.6218414306640625,1.6218414306640625,[0.059999994933605194],[0.3838316798210144],0.3238316848874092,0.3238316848874092,[1.0099999904632568],[2.196855306625366],1.1868553161621094,1.1868553161621094,[13.699999809265137],[13.729116439819336],0.02911663055419922,0.02911663055419922
38,[18.489999771118164],[17.481990814208984],1.0080089569091797,1.0080089569091797,[0.059999994933605194],[0.3783382773399353],0.3183382824063301,0.3183382824063301,[1.2400000095367432],[1.817737102508545],0.5777370929718018,0.5777370929718018,[13.699999809265137],[13.727848052978516],0.027848243713378906,0.027848243713378906
39,[18.719999313354492],[17.561899185180664],1.1581001281738281,1.1581001281738281,[0.07000000029802322],[0.3331928551197052],0.263192854821682,0.263192854821682,[1.0299999713897705],[1.4676165580749512],0.43761658668518066,0.43761658668518066,[13.699999809265137],[14.47030258178711],0.7703027725219727,0.7703027725219727
40,[16.579999923706055],[17.131183624267578],0.5511837005615234,0.5511837005615234,[0.07999999821186066],[0.382855623960495],0.30285562574863434,0.30285562574863434,[3.130000114440918],[2.175333023071289],0.9546670913696289,0.9546670913696289,[13.699999809265137],[13.742507934570312],0.04250812530517578,0.04250812530517578
41,[18.0],[15.65287971496582],2.3471202850341797,2.3471202850341797,[0.07000000029802322],[0.360805481672287],0.29080548137426376,0.29080548137426376,[1.6799999475479126],[3.3466062545776367],1.6666063070297241,1.6666063070297241,[13.699999809265137],[14.519706726074219],0.819706916809082,0.819706916809082
42,[18.600000381469727],[17.09658432006836],1.5034160614013672,1.5034160614013672,[0.059999994933605194],[0.3862942159175873],0.3262942209839821,0.3262942209839821,[1.0499999523162842],[2.1876485347747803],1.137648582458496,1.137648582458496,[13.699999809265137],[13.743132591247559],0.043132781982421875,0.043132781982421875
43,[16.790000915527344],[17.43601417541504],0.6460132598876953,0.6460132598876953,[0.09000000357627869],[0.37911105155944824],0.28911104798316956,0.28911104798316956,[2.7799997329711914],[1.8662497997283936],0.9137499332427979,0.9137499332427979,[13.699999809265137],[13.73233413696289],0.032334327697753906,0.032334327697753906
44,[17.459999084472656],[15.840563774108887],1.6194353103637695,1.6194353103637695,[0.07999999821186066],[0.35588738322257996],0.2758873850107193,0.2758873850107193,[2.259999990463257],[3.133185625076294],0.8731856346130371,0.8731856346130371,[13.800000190734863],[14.620662689208984],0.8206624984741211,0.8206624984741211
45,[13.100000381469727],[16.81420135498047],3.714200973510742,3.714200973510742,[2.0799999237060547],[0.3450995683670044],1.7349003553390503,1.7349003553390503,[5.12000036239624],[2.150555372238159],2.969444990158081,2.969444990158081,[17.899999618530273],[14.603297233581543],3.2967023849487305,3.2967023849487305
